symbol,year,month,day,open,volume
Amazon,2011,12,9,9.5605,103176000
Amazon,2011,12,12,9.5015,86864000
Amazon,2011,12,13,9.428,185946000
Amazon,2011,12,14,8.95,232284000
Amazon,2011,12,15,9.1025,145198000
Amazon,2011,12,16,9.121,133282000
Amazon,2011,12,19,9.1,90672000
Amazon,2011,12,20,9.1345,92002000
Amazon,2011,12,21,9.096,161334000
Amazon,2011,12,22,8.7545,93898000
Amazon,2011,12,23,8.961,69930000
Amazon,2011,12,27,8.8865,59018000
Amazon,2011,12,28,8.8195,73190000
Amazon,2011,12,29,8.481,164186000
Amazon,2011,12,30,8.668,85596000
Amazon,2012,1,3,8.7945,102216000
Amazon,2012,1,4,8.9605,84104000
Amazon,2012,1,5,8.797,76182000
Amazon,2012,1,6,8.9035,140168000
Amazon,2012,1,9,9.138,101138000
Amazon,2012,1,10,9.055,79716000
Amazon,2012,1,11,8.982,62054000
Amazon,2012,1,12,8.971,107716000
Amazon,2012,1,13,8.7905,95070000
Amazon,2012,1,17,9.0075,112890000
Amazon,2012,1,18,9.097,149470000
Amazon,2012,1,19,9.544,141920000
Amazon,2012,1,20,9.5355,112206000
Amazon,2012,1,23,9.5395,91706000
Amazon,2012,1,24,9.25,93476000
Amazon,2012,1,25,9.3495,86128000
Amazon,2012,1,26,9.465,117472000
Amazon,2012,1,27,9.6545,93180000
Amazon,2012,1,30,9.684,108482000
Amazon,2012,1,31,9.7,255444000
Amazon,2012,2,1,8.6905,426732000
Amazon,2012,2,2,8.9825,174726000
Amazon,2012,2,3,9.1415,162410000
Amazon,2012,2,6,9.314,106200000
Amazon,2012,2,7,9.1325,102078000
Amazon,2012,2,8,9.2475,109532000
Amazon,2012,2,9,9.225,143784000
Amazon,2012,2,10,9.171,115942000
Amazon,2012,2,13,9.3585,121428000
Amazon,2012,2,14,9.554,190542000
Amazon,2012,2,15,9.5645,155888000
Amazon,2012,2,16,8.8895,251276000
Amazon,2012,2,17,9.0045,148362000
Amazon,2012,2,21,9.1325,135130000
Amazon,2012,2,22,9.0975,115708000
Amazon,2012,2,23,8.982,103076000
Amazon,2012,2,24,8.985,73374000
Amazon,2012,2,27,8.877,74124000
Amazon,2012,2,28,8.945,115290000
Amazon,2012,2,29,9.1945,106006000
Amazon,2012,3,1,8.9945,98720000
